station_id,year,month,avg_temperature,avg_vent_moyen,avg_pluie_1h
23,2014,1,3.977260273972603,7.719178082191781,0.2747945205479452
42,2014,1,5.98027950310559,5.512888198757764,0.06242236024844721
93,2014,1,7.782546494992847,3.5224606580829754,0.31931330472103003
000C5,2014,1,7.469381598793364,3.7081447963800906,0.03076923076923077
000K0,2014,1,8.091563275434243,5.60620347394541,0.15682382133995038
000L7,2014,1,9.240410958904109,6.087945205479452,0.1
000Q2,2014,1,8.586348684210526,10.835690789473684,0.34407894736842104
000T3,2014,1,2.8520423600605143,3.3606656580937972,0.12344931921331315
