station_id,year,month,avg_temperature,avg_vent_moyen,avg_pluie_1h
42,2022,8,22.444398340248963,4.097510373443983,0.026832641770401105
000BZ,2022,8,26.07359781121751,6.049521203830369,0.08454172366621067
000C5,2022,8,20.769618528610355,1.2066757493188012,0.08065395095367847
000CJ,2022,8,18.832005494505495,4.329532967032967,0.11208791208791208
000DF,2022,8,23.36095238095238,9.057551020408164,0.03972789115646259
000DR,2022,8,20.523066298342542,0.5156077348066298,0.05939226519337017
000EB,2022,8,21.662721088435376,5.724081632653061,0.06503401360544217
000EU,2022,8,23.743032786885248,1.0956284153005464,0.12786885245901639
000FA,2022,8,20.14289772727273,5.2281249999999995,0.014488636363636365
000FN,2022,8,19.245890410958904,3.2773972602739727,0.04986301369863014
000HL,2022,8,24.800826446280993,1.1449035812672177,0.014325068870523417
000K0,2022,8,23.208310626703,4.8722070844686645,0.06457765667574931
000L7,2022,8,27.248961937716263,5.68598615916955,0.0013840830449826991
000MJ,2022,8,20.86488764044944,4.402668539325842,0.012359550561797755
000OM,2022,8,22.37270955165692,5.533138401559454,0.0736842105263158
000OO,2022,8,25.295741758241757,2.6554945054945054,0.02967032967032967
000Q2,2022,8,21.03393854748603,5.114944134078213,0.05893854748603353
000QZ,2022,8,22.038933764135702,4.552665589660743,0.03360258481421648
000RD,2022,8,20.81526610644258,0.08515406162464986,0.028011204481792718
000T3,2022,8,18.986702849389417,0.002170963364993216,0.14491180461329714
000TY,2022,8,22.065454545454546,5.95560606060606,0.035454545454545454
000U7,2022,8,23.69562243502052,4.44391244870041,0.11655266757865937
000WA,2022,8,23.993775933609957,3.036237897648686,0.18699861687413552
000WN,2022,8,21.666304347826088,0.966983695652174,0.06521739130434782
000XR,2022,8,22.08444747612551,3.369440654843111,0.030968622100954978
000XW,2022,8,18.92280701754386,1.4213716108452952,0.020733652312599684
000XZ,2022,8,19.925135869565217,6.127445652173913,0.015217391304347827
000Y9,2022,8,25.721889055472264,4.946776611694153,0.00239880059970015
000YG,2022,8,23.02307692307692,4.111312217194571,0.0334841628959276
000ZK,2022,8,19.718267929634642,2.289715832205683,0.14100135317997295
000ZV,2022,8,22.301414427157003,3.2407355021216406,0.0011315417256011317
ME103,2022,8,17.81611570247934,0.03746556473829202,0.1537190082644628
ME104,2022,8,22.87197080291971,1.502043795620438,0.10627737226277371
ME106,2022,8,21.14455732946299,1.2490566037735849,0.0017416545718432514
